id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,indegree,outdegree,degree
2817,RitaBNehme,,followers,/home/usnish/twitter_ypcdn/img/1281845263.jpg,0.4142,7,457,triangle-down,ncdaction.dat,169,1281845263,0.3698,144,9,42,51
1486,FedemedicaC,,followers,/home/usnish/twitter_ypcdn/img/475489471.png,0.1062,61,1179,triangle-up,ncdaction.dat,5743,475489471,4.8711,6163,20,48,68
3010,Lenkai12,,followers,/home/usnish/twitter_ypcdn/img/3351993082.jpg,0.2381,13,1333,triangle-down,ncdaction.dat,546,3351993082,0.4096,359,27,74,101
2889,HempfieldKiva,,followers,/home/usnish/twitter_ypcdn/img/4411614737.jpg,0.3359,13,1782,triangle-down,ncdaction.dat,387,4411614737,0.2172,334,0,8,8
3133,globalhealthmed,,followers,/home/usnish/twitter_ypcdn/img/237474146.jpg,0.2443,45,1211,triangle-up,ncdaction.dat,1842,237474146,1.5211,950,138,107,245
3336,Alejogom,,followers,/home/usnish/twitter_ypcdn/img/88563675.jpg,0.3093,9,786,triangle-down,ncdaction.dat,291,88563675,0.3702,2197,3,16,19
3409,launchorg,,followers,/home/usnish/twitter_ypcdn/img/97272576.jpg,0.9069,262,2953,triangle-down,ncdaction.dat,2889,97272576,0.9783,4893,24,84,108
1354,elli_ioannou,,followers,/home/usnish/twitter_ypcdn/img/270878401.jpg,1.1342,60,969,triangle-down,ncdaction.dat,529,270878401,0.5459,1707,4,9,13
336,Genevaforum,,followers,/home/usnish/twitter_ypcdn/img/371960204.png,0.1556,127,8852,triangle-down,ncdaction.dat,8162,371960204,0.9221,2157,487,486,973
1800,vivimbmd,,followers,/home/usnish/twitter_ypcdn/img/294648655.jpg,0.6851,220,1010,triangle-up,ncdaction.dat,3211,294648655,3.1792,11525,102,50,152
598,BontleMbongwe,,followers,/home/usnish/twitter_ypcdn/img/1001765450.jpg,0.1676,3,258,triangle-down,ncdaction.dat,179,1001765450,0.6938,184,10,24,34
